Dataset_Model,Accuracy,Precision_PASS,Recall_PASS,F1_PASS,Precision_FAIL,Recall_FAIL,F1_FAIL,Macro_Precision,Macro_Recall,Macro_F1
HaluBench_LLM,0.8256410256410256,0.9148936170212766,0.7678571428571429,0.8349514563106796,0.7425742574257426,0.9036144578313253,0.8152173913043478,0.8287339372235096,0.8357358003442341,0.8250844238075137
HaluBench_Bedrock,0.5863247863247864,0.7008547008547008,0.4880952380952381,0.5754385964912281,0.50997150997151,0.7188755020080321,0.5966666666666667,0.6054131054131053,0.603485370051635,0.5860526315789474
Challenger_LLM,0.7896103896103897,0.7038391224862889,1.0,0.8261802575107297,1.0,0.5792207792207792,0.7335526315789473,0.8519195612431445,0.7896103896103897,0.7798664445448384
Challenger_Bedrock,0.8090909090909091,0.7270992366412213,0.9896103896103896,0.8382838283828383,0.983739837398374,0.6285714285714286,0.7670364500792393,0.8554195370197977,0.8090909090909091,0.8026601392310388
